Title,Company,Location,Salary,Source,URL,Posted
"Master — Europe","Not specified","Remote","Competitive","Web3.career","https://web3.career/master-europe-fedi-inc/145279","2026-02-14T16:30:04.863Z"
"Fedi, Inc.","Not specified","Remote","Competitive","Web3.career","https://web3.career/master-europe-fedi-inc/145279","2026-02-14T16:30:04.863Z"
"Web3 Solidity Bootcamp - Job Guaranteed 💯","Not specified","Remote","Competitive","Web3.career","https://web3.career/metana","2026-02-14T16:30:04.863Z"
"Knight","Not specified","Remote","Competitive","Web3.career","https://web3.career/knight-fedi-inc/145278","2026-02-14T16:30:04.863Z"
"Senior Blockchain Developer","Not specified","Remote","Competitive","Web3.career","https://web3.career/senior-blockchain-developer-lemon-io/144964","2026-02-14T16:30:04.863Z"
"Lemon.io","Not specified","Remote","Competitive","Web3.career","https://web3.career/senior-blockchain-developer-lemon-io/144964","2026-02-14T16:30:04.863Z"
"Product Security Engineer","Not specified","Remote","Competitive","Web3.career","https://web3.career/product-security-engineer-hashgraph/144926","2026-02-14T16:30:04.863Z"
"Hashgraph","Not specified","Remote","Competitive","Web3.career","https://web3.career/product-security-engineer-hashgraph/144926","2026-02-14T16:30:04.863Z"
"VP Engineering","Not specified","Remote","Competitive","Web3.career","https://web3.career/vp-engineering-genius/140021","2026-02-14T16:30:04.863Z"
"Genius","Not specified","Remote","Competitive","Web3.career","https://web3.career/vp-engineering-genius/140021","2026-02-14T16:30:04.863Z"
"Technical Lead - Wallets (100% remote)","Not specified","Remote","Competitive","Web3.career","https://web3.career/technical-lead-wallets-100-remote-tether/105878","2026-02-14T16:30:04.863Z"
"Tether","Not specified","Remote","Competitive","Web3.career","https://web3.career/technical-lead-wallets-100-remote-tether/105878","2026-02-14T16:30:04.863Z"
"Community Spaces Lead","Not specified","Remote","Competitive","Web3.career","https://web3.career/community-spaces-lead-fedi-inc/144012","2026-02-14T16:30:04.863Z"
"On & Off Ramps Lead","Not specified","Remote","Competitive","Web3.career","https://web3.career/on-off-ramps-lead-fedi-inc/144011","2026-02-14T16:30:04.863Z"
"ZIGChain Blockchain Engineer","Not specified","Remote","Competitive","Web3.career","https://web3.career/zigchain-blockchain-engineer-zigchain/139083","2026-02-14T16:30:04.863Z"
"ZIGChain","Not specified","Remote","Competitive","Web3.career","https://web3.career/zigchain-blockchain-engineer-zigchain/139083","2026-02-14T16:30:04.863Z"
"Backend Engineer","Not specified","Remote","Competitive","Web3.career","https://web3.career/backend-engineer-blackwing/103747","2026-02-14T16:30:04.863Z"
"Blackwing","Not specified","Remote","Competitive","Web3.career","https://web3.career/backend-engineer-blackwing/103747","2026-02-14T16:30:04.863Z"
"Front End Engineer","Not specified","Remote","Competitive","Web3.career","https://web3.career/front-end-engineer-blackwing/103745","2026-02-14T16:30:04.863Z"
"Chief Brand & Industry Representative / Speaker (APAC)","Not specified","Remote","Competitive","Web3.career","https://web3.career/chief-brand-industry-representative-speaker-apac-runx/143613","2026-02-14T16:30:04.863Z"
"Junior Crypto Analyst & Trader","Junior Crypto Analyst & Trader
									
								
								 
								
							
							 verified
							
																											
											ELEMENTAL TERRA										
									
																🌏 Worldwide💰 $50k - $70k⏰ Part time","Remote","Blockchain","RemoteOK","https://remoteok.com/remote-jobs/remote-junior-crypto-analyst-trader-elemental-terra-1130008","2026-02-14T16:30:13.301Z"
"Security Operations Engineer","Security Operations Engineer
									
								
								 
								
							
							
							
																											
											Alpaca										
									
																Remote - EMEA💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-security-operations-engineer-alpaca-1130218","2026-02-14T16:30:13.301Z"
"Senior Software Engineer Trading Infrastructure","Senior Software Engineer Trading Infrastructure
									
								
								 
								
							
							
							
																											
											Gauntlet										
									
																New York City / San Francisco / Los Angeles / Remote💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-senior-software-engineer-trading-infrastructure-gauntlet-1130217","2026-02-14T16:30:13.301Z"
"Business Development Representative UK EU","Business Development Representative UK EU
									
								
								 
								
							
							
							
																											
											Alpaca										
									
																🌏 Probably worldwide💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-business-development-representative-uk-eu-alpaca-1130198","2026-02-14T16:30:13.301Z"
"Senior Software Engineer Web","Senior Software Engineer Web
									
								
								 
								
							
							
							
																											
											BitMEX										
									
																Asia💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-senior-software-engineer-web-bitmex-1130197","2026-02-14T16:30:13.301Z"
"Senior Software Engineer India","Senior Software Engineer India
									
								
								 
								
							
							
							
																											
											Alpaca										
									
																🌏 Probably worldwide💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-senior-software-engineer-india-alpaca-1130162","2026-02-14T16:30:13.301Z"
"Head of Strategic Accounts","Head of Strategic Accounts
									
								
								 
								
							
							
							
																											
											Mesh										
									
																United States💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-head-of-strategic-accounts-mesh-1130155","2026-02-14T16:30:13.301Z"
"Senior Web Developer","Senior Web Developer
									
								
								 
								
							
							
							
																											
											Coin Market Cap Ltd										
									
																🌏 Probably worldwide💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-senior-web-developer-coin-market-cap-ltd-1130135","2026-02-14T16:30:13.301Z"
"Senior Product Marketer API","Senior Product Marketer API
									
								
								 
								
							
							
							
																											
											CoinGecko										
									
																Malaysia💰 Upgrade to Premium to see salary","Remote","Marketer","RemoteOK","https://remoteok.com/remote-jobs/remote-senior-product-marketer-api-coingecko-1130132","2026-02-14T16:30:13.301Z"
"QA Analyst","QA Analyst
									
								
								 
								
							
							
							
																											
											Proof of Play										
									
																🌏 Probably worldwide💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-qa-analyst-proof-of-play-1130098","2026-02-14T16:30:13.301Z"
"Finance Expert Crypto","Finance Expert Crypto
									
								
								 
								
							
							
							
																											
											xAI										
									
																💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-finance-expert-crypto-xai-1130051","2026-02-14T16:30:13.301Z"
"Finance Expert Crypto","Finance Expert Crypto
									
								
								 
								
							
							
							
																											
											xAI										
									
																🌏 Probably worldwide💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-finance-expert-crypto-xai-1130045","2026-02-14T16:30:13.301Z"
"Sales Representative","Sales Representative
									
								
								 
								
							
							
							
																											
											InfStones										
									
																Texas💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-sales-representative-infstones-1130044","2026-02-14T16:30:13.301Z"
"Staff Frontend Engineer","Staff Frontend Engineer
									
								
								 
								
							
							
							
																											
											Alpaca										
									
																🌏 Probably worldwide💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-staff-frontend-engineer-alpaca-1130038","2026-02-14T16:30:13.301Z"
"Product Director Cards","Product Director Cards
									
								
								 
								
							
							
							
																											
											Crypto.com										
									
																United States💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-product-director-cards-crypto-com-1130037","2026-02-14T16:30:13.301Z"
"Member of Product Design Transparency","Member of Product Design Transparency
									
								
								 
								
							
							
							
																											
											Anchorage Digital										
									
																🌏 Probably worldwide💰 Upgrade to Premium to see salary","Remote","Bank","RemoteOK","https://remoteok.com/remote-jobs/remote-member-of-product-design-transparency-anchorage-digital-1130010","2026-02-14T16:30:13.301Z"
"Product Marketing Manager","Product Marketing Manager
									
								
								 
								
							
							
							
																											
											Crypto.com										
									
																United States💰 Upgrade to Premium to see salary","Remote","Marketer","RemoteOK","https://remoteok.com/remote-jobs/remote-product-marketing-manager-crypto-com-1129996","2026-02-14T16:30:13.301Z"
"DAO Community Manager","DAO Community Manager
									
								
								 
								
							
							
							
																											
											1inch										
									
																🌏 Probably worldwide💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-dao-community-manager-1inch-1129875","2026-02-14T16:30:13.301Z"
"Zora","Zora
									
								
								 
								
							
							
							
																											
											ZORA										
									
																New York City💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-zora-zora-1129849","2026-02-14T16:30:13.301Z"
"Business Development Manager","Business Development Manager
									
								
								 
								
							
							
							
																											
											Unlimit										
									
																🌏 Probably worldwide💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-business-development-manager-unlimit-1129848","2026-02-14T16:30:13.301Z"
"Crypto Trading Trainee Market Analysis Associate","Crypto Trading Trainee Market Analysis Associate
									
								
								 
								
							
							 verified
							
																											
											WhiteBridge-Ltd										
									
																🌏 Worldwide💰 $70k - $90k⏰ Part time","Remote","Blockchain","RemoteOK","https://remoteok.com/remote-jobs/remote-crypto-trading-trainee-market-analysis-associate-whitebridge-ltd-1129668","2026-02-14T16:30:13.302Z"
"Member of Information & Security","Member of Information & Security
									
								
								 
								
							
							
							
																											
											Anchorage Digital										
									
																United States💰 Upgrade to Premium to see salary","Remote","Bank","RemoteOK","https://remoteok.com/remote-jobs/remote-member-of-information-amp-security-anchorage-digital-1129822","2026-02-14T16:30:13.302Z"
"Software Engineer Manager Marketing","Software Engineer Manager Marketing
									
								
								 
								
							
							
							
																											
											BitMEX										
									
																Asia💰 Upgrade to Premium to see salary","Remote","Marketing","RemoteOK","https://remoteok.com/remote-jobs/remote-software-engineer-manager-marketing-bitmex-1129771","2026-02-14T16:30:13.302Z"
"Senior Sales Engineer APAC","Senior Sales Engineer APAC
									
								
								 
								
							
							
							
																											
											Alpaca										
									
																APAC💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-senior-sales-engineer-apac-alpaca-1129768","2026-02-14T16:30:13.302Z"
"Sales Engineer LATAM","Sales Engineer LATAM
									
								
								 
								
							
							
							
																											
											Alpaca										
									
																LATAM💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-sales-engineer-latam-alpaca-1129714","2026-02-14T16:30:13.302Z"
"Senior Lead Designer Web & Interactive","Senior Lead Designer Web & Interactive
									
								
								 
								
							
							
							
																											
											Bullish US LLC										
									
																New York💰 Upgrade to Premium to see salary","Remote","Marketing","RemoteOK","https://remoteok.com/remote-jobs/remote-senior-lead-designer-web-amp-interactive-bullish-us-llc-1129708","2026-02-14T16:30:13.302Z"
"Japan Marketing Manager","Japan Marketing Manager
									
								
								 
								
							
							
							
																											
											Manta Network, Powered by p0x labs										
									
																Tokyo💰 Upgrade to Premium to see salary","Remote","Marketing","RemoteOK","https://remoteok.com/remote-jobs/remote-japan-marketing-manager-manta-network-powered-by-p0x-labs-1129700","2026-02-14T16:30:13.302Z"
"Member of Product Core Experience","Member of Product Core Experience
									
								
								 
								
							
							
							
																											
											Anchorage Digital										
									
																🌏 Probably worldwide💰 Upgrade to Premium to see salary","Remote","Bank","RemoteOK","https://remoteok.com/remote-jobs/remote-member-of-product-core-experience-anchorage-digital-1129699","2026-02-14T16:30:13.302Z"
"Ecosystem Operation Manager","Ecosystem Operation Manager
									
								
								 
								
							
							
							
																											
											Gate										
									
																APAC-T1💰 Upgrade to Premium to see salary","Remote","Marketing","RemoteOK","https://remoteok.com/remote-jobs/remote-ecosystem-operation-manager-gate-1129671","2026-02-14T16:30:13.302Z"
"Experienced Quantitative Trader","Experienced Quantitative Trader
									
								
								 
								
							
							
							
																											
											Kronos Research										
									
																Singapore💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-experienced-quantitative-trader-kronos-research-1129648","2026-02-14T16:30:13.302Z"
"Director of Engineering Founding Engineer India","Director of Engineering Founding Engineer India
									
								
								 
								
							
							
							
																											
											Alpaca										
									
																India💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-director-of-engineering-founding-engineer-india-alpaca-1129632","2026-02-14T16:30:13.302Z"
"VP of Engineering Institutional Trading","VP of Engineering Institutional Trading
									
								
								 
								
							
							
							
																											
											Alpaca										
									
																🌏 Probably worldwide💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-vp-of-engineering-institutional-trading-alpaca-1129603","2026-02-14T16:30:13.302Z"
"Finance and Accounting Manager","Finance and Accounting Manager
									
								
								 
								
							
							
							
																											
											Jobgether										
									
																Republic of Lithuania💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-finance-and-accounting-manager-jobgether-1129577","2026-02-14T16:30:13.302Z"
"Director of Engineering Canada","Director of Engineering Canada
									
								
								 
								
							
							
							
																											
											Alpaca										
									
																🌏 Probably worldwide💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-director-of-engineering-canada-alpaca-1129568","2026-02-14T16:30:13.302Z"
"Finance and Accounting Manager","Finance and Accounting Manager
									
								
								 
								
							
							
							
																											
											Jobgether										
									
																Kenya💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-finance-and-accounting-manager-jobgether-1129540","2026-02-14T16:30:13.302Z"
"Current openings","Current openings
									
								
								 
								
							
							
							
																											
											Alpaca										
									
																💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-current-openings-alpaca-1129535","2026-02-14T16:30:13.302Z"
"Business Development Manager","Business Development Manager
									
								
								 
								
							
							
							
																											
											Gate										
									
																Global-NAJ💰 Upgrade to Premium to see salary","Remote","Marketing","RemoteOK","https://remoteok.com/remote-jobs/remote-business-development-manager-gate-1129522","2026-02-14T16:30:13.302Z"
"Performance Marketing Manager GalaxyOne","Performance Marketing Manager GalaxyOne
									
								
								 
								
							
							
							
																											
											Galaxy Digital Services										
									
																💰 Upgrade to Premium to see salary","Remote","Marketing","RemoteOK","https://remoteok.com/remote-jobs/remote-performance-marketing-manager-galaxyone-galaxy-digital-services-1129485","2026-02-14T16:30:13.302Z"
"DevSecOps Engineer","DevSecOps Engineer
									
								
								 
								
							
							
							
																											
											Alpaca										
									
																Remote - Global (Anywhere)💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-devsecops-engineer-alpaca-1129484","2026-02-14T16:30:13.302Z"
"Crypto Production Engineer","Crypto Production Engineer
									
								
								 
								
							
							
							
																											
											Wormhole Foundation										
									
																💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-crypto-production-engineer-wormhole-foundation-1129480","2026-02-14T16:30:13.302Z"
"Staff Software Engineer Crypto","Staff Software Engineer Crypto
									
								
								 
								
							
							
							
																											
											Robinhood										
									
																New York💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-staff-software-engineer-crypto-robinhood-1129455","2026-02-14T16:30:13.302Z"
"Sales Development Manager","Sales Development Manager
									
								
								 
								
							
							
							
																											
											Dune										
									
																London💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-sales-development-manager-dune-1129363","2026-02-14T16:30:13.302Z"
"Motion Designer","Motion Designer
									
								
								 
								
							
							
							
																											
											Alpaca										
									
																Remote - North America💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-motion-designer-alpaca-1129357","2026-02-14T16:30:13.302Z"
"Product Security Engineer DeFi","Product Security Engineer DeFi
									
								
								 
								
							
							
							
																											
											FalconX										
									
																New York City💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-product-security-engineer-defi-falconx-1129337","2026-02-14T16:30:13.302Z"
"Senior Data Engineer","Senior Data Engineer
									
								
								 
								
							
							
							
																											
											Nansen.ai										
									
																Remote EMEA, Remote Asia💰 Upgrade to Premium to see salary","Remote","Not disclosed","RemoteOK","https://remoteok.com/remote-jobs/remote-senior-data-engineer-nansen-ai-1129332","2026-02-14T16:30:13.302Z"
"Product Manager GeckoTerminal","Product Manager GeckoTerminal
									
								
								 
								
							
							
							
																											
											CoinGecko										
									
																Malaysia💰 Upgrade to Premium to see salary","Remote","Marketing","RemoteOK","https://remoteok.com/remote-jobs/remote-product-manager-geckoterminal-coingecko-1129326","2026-02-14T16:30:13.302Z"
"Senior Analytics Engineer","Senior Analytics Engineer
									
								
								 
								
							
							
							
																											
											Alpaca										
									
																Remote - North America💰 Upgrade to Premium to see salary","Remote","Marketing","RemoteOK","https://remoteok.com/remote-jobs/remote-senior-analytics-engineer-alpaca-1129325","2026-02-14T16:30:13.302Z"